Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
33615,   Canada,,124,B,   Netherlands*,528,46644
33616,   Canada,,124,B,   Curaçao*,531,294
33617,   Canada,,124,B,   Aruba*,533,375
33618,   Canada,,124,B,   Sint Maarten (Dutch part)*,534,68
33619,   Canada,,124,B,"   Bonaire, Sint Eustatius and Saba*",535,2403
33620,   Canada,,124,B,   New Caledonia*,540,116
33621,   Canada,,124,B,   New Zealand*,554,4922
33622,   Canada,,124,B,   Nicaragua,558,5541
33623,   Canada,,124,B,   Niger,562,516
33624,   Canada,,124,B,   Nigeria,566,22191
33625,   Canada,,124,B,   Norway*,578,2126
33626,   Canada,,124,B,   Pakistan,586,106698
33627,   Canada,,124,B,   Panama,591,1485
33628,   Canada,,124,B,   Papua New Guinea,598,144
33629,   Canada,,124,B,   Paraguay,600,4043
33630,   Canada,,124,B,   Peru,604,17953
33631,   Canada,,124,B,   Philippines,608,367616
33632,   Canada,,124,B,   Poland,616,86212
33633,   Canada,,124,B,   Portugal,620,76816
33634,   Canada,,124,B,   Guinea-Bissau,624,40
33635,   Canada,,124,B,   Puerto Rico*,630,333
33636,   Canada,,124,B,   Qatar,634,1318
33637,   Canada,,124,B,   Réunion*,638,160
33638,   Canada,,124,B,   Romania,642,51186
33639,   Canada,,124,B,   Russian Federation,643,47856
33640,   Canada,,124,B,   Rwanda,646,3499
33641,   Canada,,124,B,   Saint Kitts and Nevis,659,1259
33642,   Canada,,124,B,   Anguilla*,660,24
33643,   Canada,,124,B,   Saint Lucia,662,4065
33644,   Canada,,124,B,   Saint Pierre and Miquelon*,666,139
33645,   Canada,,124,B,   Saint Vincent and the Grenadines,670,8720
33646,   Canada,,124,B,   Saudi Arabia,682,10346
33647,   Canada,,124,B,   Senegal,686,3543
33648,   Canada,,124,B,   Serbia*,688,18314
33649,   Canada,,124,B,   Seychelles,690,623
33650,   Canada,,124,B,   Sierra Leone,694,1625
33651,   Canada,,124,B,   Singapore,702,6920
33652,   Canada,,124,B,   Slovakia,703,8202
33653,   Canada,,124,B,   Viet Nam,704,98310
33654,   Canada,,124,B,   Slovenia,705,4798
33655,   Canada,,124,B,   Somalia,706,16336
33656,   Canada,,124,B,   South Africa,710,24190
33657,   Canada,,124,B,   Zimbabwe,716,5795
33658,   Canada,,124,B,   Spain*,724,5541
33659,   Canada,,124,B,   South Sudan,728,2740
33660,   Canada,,124,B,   Sudan,729,5644
33661,   Canada,,124,B,   Suriname,740,521
33662,   Canada,,124,B,   Eswatini,748,257
33663,   Canada,,124,B,   Sweden,752,3909
33664,   Canada,,124,B,   Switzerland,756,9786
33665,   Canada,,124,B,   Syrian Arab Republic,760,28404
33666,   Canada,,124,B,   Tajikistan,762,720
33667,   Canada,,124,B,   Thailand,764,10412
33668,   Canada,,124,B,   Togo,768,1544
33669,   Canada,,124,B,   Tonga,776,90
33670,   Canada,,124,B,   Trinidad and Tobago,780,38472
33671,   Canada,,124,B,   United Arab Emirates,784,10616
33672,   Canada,,124,B,   Tunisia,788,8149
33673,   Canada,,124,B,   Turkey,792,13130
33674,   Canada,,124,B,   Turkmenistan,795,306
33675,   Canada,,124,B,   Turks and Caicos Islands*,796,30
33676,   Canada,,124,B,   Uganda,800,7341
33677,   Canada,,124,B,   Ukraine*,804,42733
33678,   Canada,,124,B,   North Macedonia,807,5622
33679,   Canada,,124,B,   Egypt,818,32848
33680,   Canada,,124,B,   United Kingdom*,826,275698
33681,   Canada,,124,B,   United Republic of Tanzania*,834,11542
