Fiscal Year 2014,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Finland,30,351,0,115,450,13,0,0,3,498,0,2,0,0,0,18,66,0,0,4,0,436,12,0,21,109,4,92,0,86,0,0,0,1,4,50,70,"1,232",188,32,0,0,0,284,322,38,4,0,0,0,0,0,0,0,0,0,0,86,5,15,146,0,13,9,8,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4,832",0,"4,832"
France,179,"1,587",4,518,"3,615",87,0,0,18,"4,222",0,21,0,0,7,139,"2,641",0,0,11,0,"7,072",97,0,54,67,22,860,4,"1,709",0,0,1,3,79,445,602,"13,718",969,277,23,7,0,"2,714","3,069",297,9,0,0,132,0,19,1,6,0,1,0,784,263,233,677,7,73,13,300,56,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,"47,737",0,"47,737"
Georgia,37,481,2,13,"6,666",2,0,0,2,230,0,0,0,0,0,0,7,0,0,1,0,298,16,0,10,61,0,44,4,25,0,0,0,0,0,14,29,494,24,29,4,1,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,11,0,3,12,0,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,568",0,"8,568"
Germany,218,"1,161",10,524,"8,001",42,0,0,12,"6,226",0,10,0,0,0,"1,449","3,731",1,0,28,0,"8,764",86,0,79,211,20,520,9,"1,213",0,0,0,8,87,389,913,"22,034",812,381,20,4,0,"2,481","1,717",518,15,0,0,942,2,27,36,328,0,0,0,613,198,136,"1,047",2,45,11,162,66,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,"65,340",0,"65,340"
Great Britain and Northern Ireland,105,"3,243",4,"2,060","20,382",211,0,0,27,"8,719",0,89,1,1,3,155,"2,915",1,0,78,0,"4,859",139,0,39,109,13,728,0,"2,509",0,0,43,"1,537",69,"1,165","1,683","19,363",372,"1,370",65,5,0,"6,302","4,972",634,41,0,0,589,0,24,3,13,0,1,0,"2,391","1,792",562,"2,533",98,214,34,109,168,81,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,"92,653",0,"92,653"
Greece,45,160,0,28,"1,181",13,0,0,0,"2,941",0,1,0,0,2,22,5,0,0,6,0,825,20,0,22,18,1,55,0,341,0,0,0,2,4,71,12,751,115,44,0,0,0,128,77,17,1,0,0,153,0,7,0,3,0,0,0,99,19,27,58,0,169,3,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"7,461",0,"7,461"
Hungary,32,146,1,60,516,3,0,0,4,524,0,0,0,0,1,0,1,0,0,1,0,334,18,0,12,84,4,56,0,139,0,0,1,36,7,65,30,"2,153",157,54,3,0,0,257,220,12,0,0,0,85,0,1,2,2,0,0,0,55,3,20,190,0,51,6,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"5,371",0,"5,371"
Iceland,12,11,0,3,517,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,233,23,0,11,19,0,30,2,33,0,0,0,1,0,25,1,168,27,6,0,1,1,18,32,18,5,0,0,2,0,0,0,0,0,0,0,23,10,3,36,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1,609",0,"1,609"
Ireland,17,153,1,195,"1,477",25,0,0,5,770,0,0,0,0,0,53,270,0,0,4,0,603,17,0,12,15,2,122,0,651,0,0,52,258,25,160,148,"10,092",123,131,4,1,0,"1,124",778,52,5,0,0,0,0,0,0,0,0,0,0,249,122,47,348,8,324,8,11,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,495",0,"18,495"
Italy,108,382,2,511,"3,778",40,0,0,5,"2,691",0,8,0,0,0,306,"1,404",0,0,7,0,"4,532",78,0,50,138,21,441,4,"1,030",0,0,1,15,30,268,162,"6,948",395,154,13,3,0,"1,224",928,260,8,0,0,484,0,19,8,5,0,0,0,618,161,149,603,0,43,13,258,78,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"28,402",0,"28,402"
Kazakhstan,68,451,7,46,"17,501",30,0,0,43,1,0,2,0,0,68,0,24,0,0,0,0,"2,011",168,0,17,69,0,81,0,64,0,0,0,0,7,32,21,"2,307",60,66,18,1,0,55,81,8,0,0,0,0,0,0,0,0,0,0,0,12,1,4,31,0,4,2,0,19,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"23,384",0,"23,384"
Kosovo,16,144,0,0,"3,022",8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,94,0,0,0,24,0,23,0,15,0,0,0,0,0,4,13,584,8,94,3,5,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,089",0,"4,089"
Kyrgyzstan,15,148,0,4,"2,211",0,0,0,20,0,0,0,0,0,19,0,5,0,0,4,0,172,19,0,16,19,0,99,0,24,0,0,0,0,0,10,15,591,15,29,4,0,0,3,16,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,480",0,"3,480"
Latvia,12,139,0,4,232,158,0,0,0,874,0,3,0,0,0,0,6,0,0,3,0,121,5,0,7,11,0,16,0,29,0,0,0,1,1,23,7,266,10,25,1,0,0,30,21,10,0,0,0,4,0,0,0,0,0,0,0,31,3,4,56,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,122",0,"2,122"
Liechtenstein,0,5,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53
Lithuania,31,173,0,56,242,0,0,0,3,403,0,0,0,0,0,0,16,0,0,2,0,241,5,0,15,41,3,15,1,47,0,0,0,66,1,24,5,"1,184",12,26,1,0,0,38,32,4,0,0,0,3,0,0,1,1,0,0,0,38,0,2,40,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,776",0,"2,776"
Luxembourg,8,32,0,0,34,2,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,58,0,0,1,8,1,20,0,6,0,0,0,0,0,5,10,56,5,1,0,0,0,9,5,5,0,0,0,3,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,299
Macedonia,24,171,1,7,"3,352",4,0,0,6,637,0,0,0,0,1,0,3,0,0,0,0,97,2,0,3,36,0,27,0,31,0,0,0,12,0,12,9,"1,507",13,65,1,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,33,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6,084",0,"6,084"
Malta,2,20,0,4,103,4,0,0,1,38,0,0,0,0,0,0,1,0,0,0,0,4,0,0,9,9,3,5,0,6,0,0,0,0,0,1,1,15,1,0,0,0,0,27,7,6,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,277
Moldova,11,81,0,15,"3,924",46,0,0,11,69,0,0,0,0,1,0,12,0,0,0,0,90,5,0,6,22,1,44,1,33,0,0,38,121,1,34,5,"2,600",7,58,7,1,0,12,18,1,1,0,0,4,0,0,0,0,0,0,0,9,4,0,23,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"7,321",0,"7,321"
Monaco,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
Montenegro,3,134,0,4,"2,371",1,0,0,0,"1,211",0,0,0,0,0,0,3,0,0,0,0,103,0,0,3,21,0,5,0,14,0,0,0,1,0,3,9,366,0,15,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,296",0,"4,296"
Netherlands,80,337,0,577,"3,690",10,0,0,4,"3,521",0,1,0,0,1,23,377,0,0,4,0,"1,571",8,0,23,134,7,229,1,287,0,0,5,24,9,110,116,"3,145",189,136,7,1,0,"1,070","1,018",175,2,0,0,231,0,13,0,14,0,0,0,302,144,74,359,3,10,12,0,18,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"18,091",0,"18,091"
Norway,48,308,1,57,"2,007",4,0,0,4,"1,196",0,0,0,0,0,49,192,0,0,1,0,"2,558",70,0,18,209,0,110,1,68,0,0,0,3,15,22,136,"2,162",238,32,0,0,0,189,234,271,15,0,3,158,1,6,0,1,0,0,0,111,29,26,136,0,12,1,169,16,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"10,898",0,"10,898"
Poland,46,313,0,521,"77,882",44,0,0,155,"2,600",0,3,0,0,0,4,103,0,0,5,0,701,17,0,23,73,12,43,2,287,0,0,2,53,77,166,138,"4,681",227,142,12,3,1,433,340,25,1,0,0,367,0,5,4,31,0,0,0,117,9,19,408,0,87,3,0,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"90,245",0,"90,245"
Portugal,18,88,0,73,"1,630",2,0,0,1,"1,643",0,4,0,0,0,0,14,0,0,2,0,551,19,0,10,25,7,65,0,168,0,0,1,8,3,50,37,710,66,35,1,1,0,266,256,44,1,0,3,42,0,2,0,1,0,0,0,87,14,29,53,0,18,3,0,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"6,065",0,"6,065"
Romania,68,255,5,717,"28,520",48,0,0,141,"5,692",0,1,0,0,2,3,40,0,0,2,0,406,26,0,14,84,5,100,2,291,0,0,195,471,2,92,88,"5,275",51,214,23,6,0,172,134,20,4,0,2,211,0,8,0,0,0,0,0,40,5,7,43,1,37,8,0,14,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"43,558",0,"43,558"
Russia,302,"1,417",0,471,"206,049",118,0,0,198,"15,888",0,16,13,1,0,6,21,0,0,3,0,"6,214",286,0,344,338,0,670,2,735,0,0,0,23,27,632,402,"6,079",205,705,123,4,2,872,918,188,9,0,0,0,0,0,0,0,0,0,0,312,25,84,"1,475",1,321,64,1,47,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,"245,638",0,"245,638"
San Marino,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
Serbia  ,12,123,0,32,"10,679",44,0,0,23,"2,185",0,0,0,0,0,2,20,0,0,0,0,726,9,0,7,44,0,72,1,214,0,0,1,152,2,56,41,"3,020",41,101,2,1,0,63,58,6,0,0,0,1,0,0,0,0,0,0,0,75,10,9,138,0,71,4,1,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,"18,061",0,"18,061"
Slovakia,20,126,1,19,524,28,0,0,8,300,0,0,0,0,0,0,32,0,0,0,0,348,11,0,12,32,1,31,0,80,0,0,0,78,0,26,16,"3,162",26,26,1,0,0,116,80,9,0,0,0,8,0,0,0,0,0,0,0,33,2,3,31,0,0,2,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"5,202",0,"5,202"
Slovenia,11,34,0,6,327,1,0,0,0,139,0,1,0,0,0,3,27,0,0,0,0,157,8,0,5,21,1,17,0,33,0,0,0,11,1,6,6,261,39,6,0,0,0,27,15,3,0,0,0,53,0,0,0,1,0,0,0,15,0,0,27,0,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,280",0,"1,280"
Spain,92,506,3,826,"3,997",87,0,0,17,"2,803",0,4,0,0,1,100,"1,480",0,0,6,0,"4,628",166,0,33,64,22,589,6,977,0,0,0,52,17,321,364,"7,970","1,104",171,7,3,1,"1,274","1,471",121,3,0,0,172,0,10,4,0,0,0,0,415,112,133,288,1,194,43,35,53,13,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,"30,785",0,"30,785"
Sweden,28,940,2,275,"1,668",142,0,0,6,"1,046",0,3,0,0,0,25,529,0,0,12,0,"2,758",39,0,25,114,12,142,1,242,0,0,2,16,4,92,135,"3,060",255,102,2,2,0,619,627,200,9,0,0,0,0,0,0,0,0,0,0,290,149,84,390,1,7,17,1,20,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"14,100",0,"14,100"
Switzerland,39,329,0,154,"2,306",17,0,0,1,556,0,0,0,0,0,25,231,0,0,4,0,"3,532",33,0,27,13,1,168,0,167,0,0,3,2,6,42,112,"1,497",169,35,4,1,0,372,302,222,14,0,0,0,0,0,0,0,0,0,0,122,17,36,106,0,10,4,0,16,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,"10,703",0,"10,703"
Tajikistan,9,107,1,2,794,2,0,0,3,1,0,5,0,0,1,0,0,0,0,0,0,151,19,0,18,68,0,74,0,14,0,0,0,0,0,7,4,182,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,498",0,"1,498"
Turkey,132,"1,112",4,104,"75,404",231,0,0,40,"4,189",0,40,0,0,3,57,422,0,0,0,0,"6,973",276,0,29,254,0,92,5,"1,040",0,0,0,67,4,353,169,"7,493","1,050",117,3,1,0,185,134,218,17,0,4,452,0,29,0,3,0,0,0,65,12,24,10,0,16,2,7,10,26,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,"100,884",0,"100,884"
Turkmenistan,7,50,0,32,"1,036",3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,222,14,0,12,13,0,29,0,11,0,0,0,0,0,5,4,193,10,8,2,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,676",0,"1,676"
Ukraine,67,235,2,317,"41,600","1,077",0,0,66,"9,588",0,1,0,0,0,0,29,0,0,0,0,956,71,0,24,60,0,116,2,311,0,0,79,123,1,345,74,"5,311",79,992,235,0,0,391,327,41,0,0,0,0,0,0,0,0,0,0,0,81,6,13,224,0,43,29,0,28,19,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,"62,976",0,"62,976"
Uzbekistan,55,139,1,13,"6,695",8,0,0,26,270,0,1,0,0,0,0,2,0,0,0,0,318,87,0,14,26,0,103,0,45,0,0,0,0,1,29,0,545,24,82,17,1,1,16,43,1,1,0,0,0,0,0,0,0,0,0,0,7,0,1,5,0,30,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,"8,613",0,"8,613"
Vatican City,4,14,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
Antigua and Barbuda,13,28,0,0,"1,730",354,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,66,0,0,1,0,0,6,0,5,0,0,0,7,0,7,0,15,2,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,277",0,"2,277"
"Bahamas, The",40,112,1,1,"8,206",2,0,0,7,116,0,49,0,0,2,0,0,0,0,0,0,"1,033",19,0,12,3,0,14,0,113,0,0,0,0,0,16,8,32,8,16,1,1,0,21,11,57,1,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,929",0,"9,929"
