Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
22707,   United Kingdom*,10,826,B,   Kyrgyzstan,417,517
22708,   United Kingdom*,10,826,B,   Lao People's Democratic Republic,418,460
22709,   United Kingdom*,10,826,B,   Latvia,428,45349
22710,   United Kingdom*,10,826,B,   Lebanon,422,7493
22711,   United Kingdom*,10,826,B,   Lesotho,426,447
22712,   United Kingdom*,10,826,B,   Liberia,430,1487
22713,   United Kingdom*,10,826,B,   Libya,434,7373
22714,   United Kingdom*,10,826,B,   Liechtenstein,438,25
22715,   United Kingdom*,10,826,B,   Lithuania,440,110292
22716,   United Kingdom*,10,826,B,   Luxembourg,442,1633
22717,   United Kingdom*,10,826,B,   Madagascar,450,811
22718,   United Kingdom*,10,826,B,   Malawi,454,9990
22719,   United Kingdom*,10,826,B,   Malaysia*,458,45209
22720,   United Kingdom*,10,826,B,   Maldives,462,185
22721,   United Kingdom*,10,826,B,   Mali,466,141
22722,   United Kingdom*,10,826,B,   Malta,470,14523
22723,   United Kingdom*,10,826,B,   Mauritania,478,61
22724,   United Kingdom*,10,826,B,   Mauritius*,480,23095
22725,   United Kingdom*,10,826,B,   Mexico,484,5492
22726,   United Kingdom*,10,826,B,   Monaco,492,180
22727,   United Kingdom*,10,826,B,   Mongolia,496,832
22728,   United Kingdom*,10,826,B,   Montenegro,499,592
22729,   United Kingdom*,10,826,B,   Montserrat*,500,6292
22730,   United Kingdom*,10,826,B,   Morocco,504,10827
22731,   United Kingdom*,10,826,B,   Mozambique,508,3341
22732,   United Kingdom*,10,826,B,   Myanmar,104,7874
22733,   United Kingdom*,10,826,B,   Namibia,516,1313
22734,   United Kingdom*,10,826,B,   Nauru,520,12
22735,   United Kingdom*,10,826,B,   Nepal,524,16390
22736,   United Kingdom*,10,826,B,   Netherlands*,528,47466
22737,   United Kingdom*,10,826,B,   New Caledonia*,540,83
22738,   United Kingdom*,10,826,B,   New Zealand*,554,41564
22739,   United Kingdom*,10,826,B,   Nicaragua,558,244
22740,   United Kingdom*,10,826,B,   Niger,562,89
22741,   United Kingdom*,10,826,B,   Nigeria,566,102105
22742,   United Kingdom*,10,826,B,   North Macedonia,807,1649
22743,   United Kingdom*,10,826,B,   Norway*,578,12214
22744,   United Kingdom*,10,826,B,   Oman,512,1505
22745,   United Kingdom*,10,826,B,   Pakistan,586,254402
22746,   United Kingdom*,10,826,B,   Panama,591,469
22747,   United Kingdom*,10,826,B,   Papua New Guinea,598,759
22748,   United Kingdom*,10,826,B,   Paraguay,600,464
22749,   United Kingdom*,10,826,B,   Peru,604,4758
22750,   United Kingdom*,10,826,B,   Philippines,608,92957
22751,   United Kingdom*,10,826,B,   Poland,616,440693
22752,   United Kingdom*,10,826,B,   Portugal,620,68095
22753,   United Kingdom*,10,826,B,   Qatar,634,964
22754,   United Kingdom*,10,826,B,   Republic of Korea,410,7046
22755,   United Kingdom*,10,826,B,   Republic of Moldova*,498,1382
22756,   United Kingdom*,10,826,B,   Réunion*,638,1
22757,   United Kingdom*,10,826,B,   Romania,642,186369
22758,   United Kingdom*,10,826,B,   Russian Federation,643,24223
22759,   United Kingdom*,10,826,B,   Rwanda,646,2537
22760,   United Kingdom*,10,826,B,   Saint Helena*,654,2487
22761,   United Kingdom*,10,826,B,   Saint Kitts and Nevis,659,4375
22762,   United Kingdom*,10,826,B,   Saint Lucia,662,6415
22763,   United Kingdom*,10,826,B,   Saint Vincent and the Grenadines,670,5067
22764,   United Kingdom*,10,826,B,   Samoa,882,138
22765,   United Kingdom*,10,826,B,   Sao Tome and Principe,678,439
22766,   United Kingdom*,10,826,B,   Saudi Arabia,682,12169
22767,   United Kingdom*,10,826,B,   Senegal,686,788
22768,   United Kingdom*,10,826,B,   Serbia*,688,5157
22769,   United Kingdom*,10,826,B,   Seychelles,690,2636
22770,   United Kingdom*,10,826,B,   Sierra Leone,694,14814
22771,   United Kingdom*,10,826,B,   Singapore,702,29685
22772,   United Kingdom*,10,826,B,   Slovakia,703,38357
22773,   United Kingdom*,10,826,B,   Slovenia,705,2324
22774,   United Kingdom*,10,826,B,   Solomon Islands,90,230
22775,   United Kingdom*,10,826,B,   Somalia,706,96531
